section,PAS,estimate_prob,lower,upper,se,name,OR,OR_low,OR_high,z,p,p_bonf,chi2,df,ms,ms_low,ms_high
accuracy_emmeans_by_PAS,NE,0.5405047786427974,0.4972455649704361,0.5831620875295228,0.0219716906133713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accuracy_emmeans_by_PAS,WG,0.7839466077327889,0.7566018666902886,0.8089948308311272,0.013366704178004236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accuracy_emmeans_by_PAS,CE,0.9328495675524593,0.9139326854073896,0.9478459414393386,0.008587167203007484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accuracy_ordered_contrasts,NA,NA,NA,NA,NA,WG - NE,3.0846568394384235,2.470810288026753,3.8510070413755777,11.37842203644854,1.0712011791481675e-29,1.0712011791481675e-29,NA,NA,NA,NA,NA
accuracy_ordered_contrasts,NA,NA,NA,NA,NA,CE - WG,3.82857716806163,2.770932193459725,5.289917655293164,9.307083595590864,2.627809380769609e-20,2.627809380769609e-20,NA,NA,NA,NA,NA
accuracy_lrt_vs_null,NA,NA,NA,NA,NA,PAS main effect,NA,NA,NA,NA,7.339280574813132e-80,NA,364.42713323206317,2,NA,NA,NA
rt_emmeans_by_PAS,NE,NA,NA,NA,0.06523824849478038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6293191963279747,1.433756092991272,1.8515569394961224
rt_emmeans_by_PAS,WG,NA,NA,NA,0.06427151580321644,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.243812221793258,1.096596376420559,1.4107914966235118
rt_emmeans_by_PAS,CE,NA,NA,NA,0.06484548572381797,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8769754751485099,0.7723085998743435,0.9958272951215186
rt_ordered_contrasts,NA,NA,NA,NA,NA,WG - NE,NA,NA,NA,-13.743313847609935,1.1171864708578341e-42,1.1171864708578341e-42,NA,NA,NA,NA,NA
rt_ordered_contrasts,NA,NA,NA,NA,NA,CE - WG,NA,NA,NA,-18.832863351456435,8.123847780165003e-79,8.123847780165003e-79,NA,NA,NA,NA,NA
rt_lrt_vs_null,NA,NA,NA,NA,NA,PAS main effect,NA,NA,NA,NA,3.167039359633878e-163,NA,748.3371459250006,2,NA,NA,NA
